
  0%|                                                                                                                                                                                         | 0/100 [00:00<?, ?it/s]
Loss after 00024 examples: 0.039
Loss after 00049 examples: 0.051
Loss after 00074 examples: 0.037
Loss after 00099 examples: 0.027
Loss after 00124 examples: 0.022
Loss after 00149 examples: 0.015
Loss after 00174 examples: 0.009
Loss after 00199 examples: 0.005
Loss after 00224 examples: 0.003
Loss after 00249 examples: 0.003
Loss after 00274 examples: 0.002
Loss after 00299 examples: 0.002
Loss after 00324 examples: 0.002
Loss after 00349 examples: 0.001
Loss after 00374 examples: 0.001
Loss after 00399 examples: 0.001
Loss after 00424 examples: 0.001
Loss after 00449 examples: 0.000
Loss after 00474 examples: 0.001

  1%|█▊                                                                                                                                                                               | 1/100 [00:10<17:58, 10.89s/it]
Loss after 00524 examples: 0.001
Loss after 00549 examples: 0.000
Loss after 00574 examples: 0.000
Loss after 00599 examples: 0.000
Loss after 00624 examples: 0.001
Loss after 00649 examples: 0.000
Loss after 00674 examples: 0.000
Loss after 00699 examples: 0.000
Loss after 00724 examples: 0.000
Loss after 00749 examples: 0.000
Loss after 00774 examples: 0.000
Loss after 00799 examples: 0.000
Loss after 00824 examples: 0.000
Loss after 00849 examples: 0.000
Loss after 00874 examples: 0.000
Loss after 00899 examples: 0.000
Loss after 00924 examples: 0.000
Loss after 00949 examples: 0.000
Loss after 00974 examples: 0.000

  2%|███▌                                                                                                                                                                             | 2/100 [00:21<17:29, 10.71s/it]
Loss after 01024 examples: 0.000
Loss after 01049 examples: 0.000
Loss after 01074 examples: 0.000
Loss after 01099 examples: 0.000
Loss after 01124 examples: 0.000
Loss after 01149 examples: 0.000
Loss after 01174 examples: 0.000
Loss after 01199 examples: 0.000
Loss after 01224 examples: 0.000
Loss after 01249 examples: 0.000
Loss after 01274 examples: 0.000
Loss after 01299 examples: 0.000
Loss after 01324 examples: 0.000
Loss after 01349 examples: 0.000
Loss after 01374 examples: 0.000
Loss after 01399 examples: 0.001
Loss after 01424 examples: 0.000
Loss after 01449 examples: 0.000
Loss after 01474 examples: 0.000

  3%|█████▎                                                                                                                                                                           | 3/100 [00:32<17:18, 10.71s/it]
Loss after 01524 examples: 0.000
Loss after 01549 examples: 0.000
Loss after 01574 examples: 0.000
Loss after 01599 examples: 0.000
Loss after 01624 examples: 0.000
Loss after 01649 examples: 0.000
Loss after 01674 examples: 0.000
Loss after 01699 examples: 0.000
Loss after 01724 examples: 0.000
Loss after 01749 examples: 0.000
Loss after 01774 examples: 0.000
Loss after 01799 examples: 0.000
Loss after 01824 examples: 0.000
Loss after 01849 examples: 0.000
Loss after 01874 examples: 0.000
Loss after 01899 examples: 0.000
Loss after 01924 examples: 0.000
Loss after 01949 examples: 0.000
Loss after 01974 examples: 0.000

  4%|███████                                                                                                                                                                          | 4/100 [00:42<17:03, 10.66s/it]
Loss after 02024 examples: 0.000
Loss after 02049 examples: 0.000
Loss after 02074 examples: 0.000
Loss after 02099 examples: 0.000
Loss after 02124 examples: 0.000
Loss after 02149 examples: 0.000
Loss after 02174 examples: 0.000
Loss after 02199 examples: 0.000
Loss after 02224 examples: 0.000
Loss after 02249 examples: 0.000
Loss after 02274 examples: 0.000
Loss after 02299 examples: 0.000
Loss after 02324 examples: 0.000
Loss after 02349 examples: 0.000
Loss after 02374 examples: 0.000
Loss after 02399 examples: 0.000
Loss after 02424 examples: 0.000
Loss after 02449 examples: 0.000
Loss after 02474 examples: 0.000

  5%|████████▊                                                                                                                                                                        | 5/100 [00:53<16:49, 10.62s/it]
Loss after 02524 examples: 0.000
Loss after 02549 examples: 0.000
Loss after 02574 examples: 0.000
Loss after 02599 examples: 0.000
Loss after 02624 examples: 0.000
Loss after 02649 examples: 0.000
Loss after 02674 examples: 0.000
Loss after 02699 examples: 0.000
Loss after 02724 examples: 0.000
Loss after 02749 examples: 0.000
Loss after 02774 examples: 0.000
Loss after 02799 examples: 0.000
Loss after 02824 examples: 0.001
Loss after 02849 examples: 0.000
Loss after 02874 examples: 0.000
Loss after 02899 examples: 0.000
Loss after 02924 examples: 0.000
Loss after 02949 examples: 0.000
Loss after 02974 examples: 0.000

  6%|██████████▌                                                                                                                                                                      | 6/100 [01:04<16:45, 10.69s/it]
Loss after 03024 examples: 0.000
Loss after 03049 examples: 0.000
Loss after 03074 examples: 0.000
Loss after 03099 examples: 0.000
Loss after 03124 examples: 0.000
Loss after 03149 examples: 0.000
Loss after 03174 examples: 0.000
Loss after 03199 examples: 0.000
Loss after 03224 examples: 0.000
Loss after 03249 examples: 0.000
Loss after 03274 examples: 0.000
Loss after 03299 examples: 0.000
Loss after 03324 examples: 0.000
Loss after 03349 examples: 0.000
Loss after 03374 examples: 0.000
Loss after 03399 examples: 0.000
Loss after 03424 examples: 0.000
Loss after 03449 examples: 0.000
Loss after 03474 examples: 0.000

  7%|████████████▍                                                                                                                                                                    | 7/100 [01:14<16:30, 10.65s/it]
Loss after 03524 examples: 0.000
Loss after 03549 examples: 0.000
Loss after 03574 examples: 0.000
Loss after 03599 examples: 0.000
Loss after 03624 examples: 0.000
Loss after 03649 examples: 0.000
Loss after 03674 examples: 0.000
Loss after 03699 examples: 0.000
Loss after 03724 examples: 0.000
Loss after 03749 examples: 0.000
Loss after 03774 examples: 0.000
Loss after 03799 examples: 0.000
Loss after 03824 examples: 0.000
Loss after 03849 examples: 0.000
Loss after 03874 examples: 0.000
Loss after 03899 examples: 0.000
Loss after 03924 examples: 0.000
Loss after 03949 examples: 0.000
Loss after 03974 examples: 0.000

  8%|██████████████▏                                                                                                                                                                  | 8/100 [01:25<16:18, 10.64s/it]
Loss after 04024 examples: 0.000
Loss after 04049 examples: 0.000
Loss after 04074 examples: 0.000
Loss after 04099 examples: 0.000
Loss after 04124 examples: 0.000
Loss after 04149 examples: 0.000
Loss after 04174 examples: 0.000
Loss after 04199 examples: 0.000
Loss after 04224 examples: 0.000
Loss after 04249 examples: 0.000
Loss after 04274 examples: 0.000
Loss after 04299 examples: 0.000
Loss after 04324 examples: 0.000
Loss after 04349 examples: 0.000
Loss after 04374 examples: 0.000
Loss after 04399 examples: 0.000
Loss after 04424 examples: 0.000
Loss after 04449 examples: 0.000
Loss after 04474 examples: 0.000

  9%|███████████████▉                                                                                                                                                                 | 9/100 [01:35<16:07, 10.63s/it]
Loss after 04524 examples: 0.000
Loss after 04549 examples: 0.000
Loss after 04574 examples: 0.000
Loss after 04599 examples: 0.000
Loss after 04624 examples: 0.000
Loss after 04649 examples: 0.000
Loss after 04674 examples: 0.000
Loss after 04699 examples: 0.000
Loss after 04724 examples: 0.000
Loss after 04749 examples: 0.000
Loss after 04774 examples: 0.000
Loss after 04799 examples: 0.000
Loss after 04824 examples: 0.000
Loss after 04849 examples: 0.000
Loss after 04874 examples: 0.000
Loss after 04899 examples: 0.000
Loss after 04924 examples: 0.000
Loss after 04949 examples: 0.000
Loss after 04974 examples: 0.000

 10%|█████████████████▌                                                                                                                                                              | 10/100 [01:46<15:58, 10.65s/it]
Loss after 05024 examples: 0.000
Loss after 05049 examples: 0.000
Loss after 05074 examples: 0.000
Loss after 05099 examples: 0.000
Loss after 05124 examples: 0.000
Loss after 05149 examples: 0.000
Loss after 05174 examples: 0.000
Loss after 05199 examples: 0.000
Loss after 05224 examples: 0.000
Loss after 05249 examples: 0.000
Loss after 05274 examples: 0.000
Loss after 05299 examples: 0.000
Loss after 05324 examples: 0.000
Loss after 05349 examples: 0.000
Loss after 05374 examples: 0.000
Loss after 05399 examples: 0.000
Loss after 05424 examples: 0.000
Loss after 05449 examples: 0.000
Loss after 05474 examples: 0.000

 11%|███████████████████▎                                                                                                                                                            | 11/100 [01:57<15:51, 10.69s/it]
Loss after 05524 examples: 0.000
Loss after 05549 examples: 0.000
Loss after 05574 examples: 0.000
Loss after 05599 examples: 0.000
Loss after 05624 examples: 0.000
Loss after 05649 examples: 0.000
Loss after 05674 examples: 0.000
Loss after 05699 examples: 0.000
Loss after 05724 examples: 0.000
Loss after 05749 examples: 0.000
Loss after 05774 examples: 0.000
Loss after 05799 examples: 0.000
Loss after 05824 examples: 0.000
Loss after 05849 examples: 0.000
Loss after 05874 examples: 0.000
Loss after 05899 examples: 0.000
Loss after 05924 examples: 0.000
Loss after 05949 examples: 0.000
Loss after 05974 examples: 0.000
Loss after 05999 examples: 0.000

 12%|█████████████████████                                                                                                                                                           | 12/100 [02:08<15:41, 10.70s/it]
Loss after 06049 examples: 0.000
Loss after 06074 examples: 0.000
Loss after 06099 examples: 0.000
Loss after 06124 examples: 0.000
Loss after 06149 examples: 0.000
Loss after 06174 examples: 0.000
Loss after 06199 examples: 0.000
Loss after 06224 examples: 0.000
Loss after 06249 examples: 0.000
Loss after 06274 examples: 0.000
Loss after 06299 examples: 0.000
Loss after 06324 examples: 0.000
Loss after 06349 examples: 0.000
Loss after 06374 examples: 0.000
Loss after 06399 examples: 0.000
Loss after 06424 examples: 0.000
Loss after 06449 examples: 0.000
Loss after 06474 examples: 0.000
Loss after 06499 examples: 0.000

 13%|██████████████████████▉                                                                                                                                                         | 13/100 [02:18<15:28, 10.67s/it]
Loss after 06549 examples: 0.000
Loss after 06574 examples: 0.000
Loss after 06599 examples: 0.000
Loss after 06624 examples: 0.000
Loss after 06649 examples: 0.000
Loss after 06674 examples: 0.000
Loss after 06699 examples: 0.000
Loss after 06724 examples: 0.000
Loss after 06749 examples: 0.000
Loss after 06774 examples: 0.000
Loss after 06799 examples: 0.000
Loss after 06824 examples: 0.000
Loss after 06849 examples: 0.000
Loss after 06874 examples: 0.000
Loss after 06899 examples: 0.000
Loss after 06924 examples: 0.000
Loss after 06949 examples: 0.000
Loss after 06974 examples: 0.000
Loss after 06999 examples: 0.000

 14%|████████████████████████▋                                                                                                                                                       | 14/100 [02:29<15:15, 10.64s/it]
Loss after 07049 examples: 0.000
Loss after 07074 examples: 0.000
Loss after 07099 examples: 0.000
Loss after 07124 examples: 0.000
Loss after 07149 examples: 0.000
Loss after 07174 examples: 0.000
Loss after 07199 examples: 0.000
Loss after 07224 examples: 0.000
Loss after 07249 examples: 0.000
Loss after 07274 examples: 0.000
Loss after 07299 examples: 0.000
Loss after 07324 examples: 0.000
Loss after 07349 examples: 0.000
Loss after 07374 examples: 0.000
Loss after 07399 examples: 0.000
Loss after 07424 examples: 0.000
Loss after 07449 examples: 0.000
Loss after 07474 examples: 0.000
Loss after 07499 examples: 0.000

 15%|██████████████████████████▍                                                                                                                                                     | 15/100 [02:39<15:03, 10.63s/it]
Loss after 07549 examples: 0.000
Loss after 07574 examples: 0.000
Loss after 07599 examples: 0.000
Loss after 07624 examples: 0.000
Loss after 07649 examples: 0.000
Loss after 07674 examples: 0.000
Loss after 07699 examples: 0.000
Loss after 07724 examples: 0.000
Loss after 07749 examples: 0.000
Loss after 07774 examples: 0.000
Loss after 07799 examples: 0.000
Loss after 07824 examples: 0.000
Loss after 07849 examples: 0.000
Loss after 07874 examples: 0.000
Loss after 07899 examples: 0.000
Loss after 07924 examples: 0.000
Loss after 07949 examples: 0.000
Loss after 07974 examples: 0.000
Loss after 07999 examples: 0.000

 16%|████████████████████████████▏                                                                                                                                                   | 16/100 [02:50<14:55, 10.66s/it]
Loss after 08049 examples: 0.000
Loss after 08074 examples: 0.000
Loss after 08099 examples: 0.000
Loss after 08124 examples: 0.000
Loss after 08149 examples: 0.000
Loss after 08174 examples: 0.000
Loss after 08199 examples: 0.000
Loss after 08224 examples: 0.000
Loss after 08249 examples: 0.000
Loss after 08274 examples: 0.000
Loss after 08299 examples: 0.000
Loss after 08324 examples: 0.000
Loss after 08349 examples: 0.000
Loss after 08374 examples: 0.000
Loss after 08399 examples: 0.000
Loss after 08424 examples: 0.000
Loss after 08449 examples: 0.000
Loss after 08474 examples: 0.000
Loss after 08499 examples: 0.000

 17%|█████████████████████████████▉                                                                                                                                                  | 17/100 [03:01<14:41, 10.62s/it]
Loss after 08549 examples: 0.000
Loss after 08574 examples: 0.000
Loss after 08599 examples: 0.000
Loss after 08624 examples: 0.000
Loss after 08649 examples: 0.000
Loss after 08674 examples: 0.000
Loss after 08699 examples: 0.000
Loss after 08724 examples: 0.000
Loss after 08749 examples: 0.000
Loss after 08774 examples: 0.000
Loss after 08799 examples: 0.000
Loss after 08824 examples: 0.000
Loss after 08849 examples: 0.000
Loss after 08874 examples: 0.000
Loss after 08899 examples: 0.000
Loss after 08924 examples: 0.000
Loss after 08949 examples: 0.000
Loss after 08974 examples: 0.000
Loss after 08999 examples: 0.000

 18%|███████████████████████████████▋                                                                                                                                                | 18/100 [03:11<14:30, 10.61s/it]
Loss after 09049 examples: 0.000
Loss after 09074 examples: 0.000
Loss after 09099 examples: 0.000
Loss after 09124 examples: 0.000
Loss after 09149 examples: 0.000
Loss after 09174 examples: 0.000
Loss after 09199 examples: 0.000
Loss after 09224 examples: 0.000
